Source	Target	Path	Support	Confidence
77	86	97>87>77>78>77	11	0.2972972972972973
77	86	87>77>78>77	21	0.1381578947368421
77	86	96>97>87>77	31	0.18452380952380953
77	86	79>78>88>78>77	10	0.2702702702702703
77	86	66>76>66>76>77	10	0.2564102564102564
77	86	69>79>78>77	10	0.07407407407407407
77	86	88>87>88>87>77	11	0.2619047619047619
77	86	77>67>66>67>77	11	0.2391304347826087
77	86	8>98>97>87>77	10	0.2631578947368421
77	86	66>67>77>78>77	12	0.3157894736842105
77	57	77	679	0.06266149870801034
77	88	77	568	0.05241786637135474
77	88	87>97>87>77	17	0.096045197740113
77	88	76>77	500	0.1812907904278463
77	88	87>77>67>77	15	0.08875739644970414
77	88	70>79>78>77	12	0.075
77	88	79>78>77	16	0.025117739403453687
77	88	57>67>77>87>77	11	0.2037037037037037
77	88	58>68>67>77	19	0.09844559585492228
77	88	77>76>77>76>77	11	0.3235294117647059
77	88	78>77>78>77	17	0.09714285714285714
77	88	65>66>67>77	19	0.10326086956521739
77	88	89>79>78>77	13	0.0755813953488372
77	88	55>65>75>76>77	13	0.3714285714285715
77	88	56>57>67>77	19	0.10326086956521739
77	88	97>87>86>76>77	11	0.3235294117647059
77	88	96>97>87>77	16	0.09523809523809523
77	88	66>67>68>78>77	11	0.09322033898305083
77	88	84>85>86>76>77	14	0.2857142857142857
77	88	77>87>77>87>77	10	0.21739130434782608
77	88	79>78>79>78>77	11	0.2894736842105263
77	88	69>79>78>77	11	0.08148148148148149
77	88	87>88>78>77	10	0.08
77	88	86>76>86>76>77	11	0.2894736842105263
77	88	86>87>77>78>77	10	0.25
77	88	60>69>68>67>77	10	0.2631578947368421
77	88	88>78>77>76>77	10	0.30303030303030304
77	88	86>87>77>76>77	14	0.29787234042553185
77	88	57>67>66>76>77	13	0.3611111111111111
77	88	73>74>75>76>77	13	0.34210526315789475
77	88	95>85>86>76>77	12	0.2857142857142857
77	88	88>87>77>76>77	13	0.3170731707317073
77	88	55>56>66>76>77	15	0.32608695652173914
77	75	77	683	0.06303063861203397
77	68	77	707	0.06524547803617571
77	68	86>76>77	38	0.05420827389443652
77	68	76>77	32	0.011602610587382161
77	68	77>76>77	33	0.05076923076923077
77	68	66>76>77	38	0.05322128851540616
77	68	76>77>87>77	25	0.16891891891891891
77	68	59>58>68>67>77	12	0.21428571428571427
77	68	78>68>67>77	21	0.11290322580645161
77	68	85>75>76>77	10	0.055865921787709494
77	68	89>79>78>77	27	0.1569767441860465
77	68	78>77>87>77	24	0.16666666666666666
77	68	86>87>77>87>77	10	0.23255813953488375
77	68	58>57>67>77	30	0.1724137931034483
77	68	88>78>68>67>77	10	0.23255813953488375
77	68	48>58>68>78>77	10	0.20833333333333334
77	79	77	654	0.060354374307862675
77	79	74>75>76>77	18	0.1258741258741259
77	79	79>69>68>67>77	10	0.24390243902439024
77	97	77	671	0.06192321889996308
77	97	68>78>68>67>77	11	0.1746031746031746
76	65	76	1236	0.11175406871609403
76	65	66>67>66>76	13	0.06878306878306878
76	65	87>97>87>77>76	11	0.20754716981132076
76	65	66>65>75>76	11	0.0625
76	65	65>75>85>75>76	13	0.26
76	65	86>76>66>76	16	0.10810810810810811
76	65	65>64>65>75>76	10	0.22727272727272724
76	65	96>86>76>66>76	10	0.2702702702702703
76	65	85>84>74>75>76	13	0.2765957446808511
76	65	7>97>87>86>76	10	0.2564102564102564
76	65	56>55>56>66>76	10	0.20833333333333334
76	96	76	713	0.06446654611211573
76	67	76	1272	0.11500904159132008
76	67	85>86>87>77>76	11	0.20754716981132076
76	67	57>67>66>76	17	0.11409395973154363
76	67	63>64>65>66>76	10	0.2857142857142857
76	67	76>66>76>77>76	10	0.20833333333333334
76	67	78>88>87>77>76	11	0.2
76	67	5>6>96>86>76	10	0.19230769230769232
76	67	54>64>74>75>76	10	0.17543859649122806
76	67	98>88>87>86>76	11	0.2682926829268293
76	67	58>57>67>66>76	10	0.2631578947368421
76	76	76	1722	0.15569620253164557
76	76	76>66>67>66>76	16	0.3404255319148936
76	76	98>97>96>86>76	15	0.30612244897959184
76	76	97>87>86>76	22	0.15172413793103448
76	76	57>67>66>76	28	0.18791946308724833
76	76	77>87>77>76	34	0.19767441860465115
76	76	67>77>76>77>76	13	0.35135135135135137
76	76	76>77>87>86>76	15	0.3
76	76	64>65>66>76	29	0.1895424836601307
76	76	56>57>56>66>76	13	0.30952380952380953
76	76	6>96>86>76	38	0.1919191919191919
76	76	65>75>85>75>76	10	0.2
76	76	67>66>67>66>76	14	0.30434782608695654
76	76	96>97>96>86>76	15	0.30612244897959184
76	76	74>84>74>75>76	19	0.3584905660377358
76	76	65>66>65>66>76	13	0.32500000000000007
76	76	55>65>66>76	29	0.18125
76	76	77>67>66>76	14	0.07734806629834254
76	76	76>86>87>77>76	10	0.3125
76	76	85>75>65>75>76	14	0.35
76	76	83>84>85>75>76	15	0.32608695652173914
76	76	77>78>77>76	20	0.15503875968992248
76	76	88>87>86>76	29	0.1870967741935484
76	76	54>55>65>66>76	19	0.4523809523809524
76	76	66>76>86>76	27	0.19148936170212766
76	76	76>77>67>66>76	10	0.22727272727272724
76	76	74>75>65>66>76	14	0.30434782608695654
76	76	56>66>65>75>76	14	0.34146341463414637
76	76	63>64>65>75>76	18	0.3050847457627119
76	76	86>76>86>76	23	0.14743589743589744
76	76	87>77>67>66>76	20	0.39215686274509803
76	76	54>64>65>75>76	13	0.3023255813953488
76	76	83>84>85>86>76	13	0.30952380952380953
76	76	96>86>76>86>76	15	0.39473684210526316
76	76	85>95>85>75>76	18	0.35294117647058826
76	76	67>57>56>66>76	14	0.42424242424242425
76	76	87>77>87>86>76	19	0.3877551020408163
76	76	78>77>76>66>76	12	0.3076923076923077
76	76	85>95>85>86>76	16	0.45714285714285713
76	76	89>79>78>77>76	13	0.3023255813953488
76	76	96>95>85>75>76	12	0.3157894736842105
76	76	65>75>76>77>76	14	0.3333333333333333
76	76	76>66>67>77>76	18	0.35294117647058826
76	76	87>77>76>86>76	15	0.36585365853658536
76	76	58>57>67>77>76	11	0.3333333333333333
76	76	76>86>76>77>76	15	0.32608695652173914
76	76	87>77>76>77>76	12	0.32432432432432434
76	76	87>88>87>77>76	12	0.41379310344827586
76	76	67>77>67>66>76	16	0.4
76	76	69>68>67>66>76	16	0.3018867924528302
76	76	76>66>76>66>76	12	0.3
76	76	76>75>85>75>76	11	0.3235294117647059
76	76	76>86>76>86>76	10	0.21739130434782608
76	76	78>77>78>77>76	20	0.4
76	76	85>75>85>75>76	18	0.4090909090909091
76	76	89>88>78>77>76	10	0.3333333333333333
76	87	76	1151	0.10406871609403255
76	87	56>66>67>66>76	11	0.2037037037037037
76	87	67>77>87>77>76	11	0.19298245614035087
76	87	74>75>76>75>76	11	0.22448979591836735
76	87	66>65>75>76	12	0.06818181818181818
76	87	74>75>85>75>76	10	0.21739130434782608
76	87	68>67>66>76	18	0.10465116279069768
76	87	85>86>85>75>76	10	0.21739130434782608
76	87	76>66>76>77>76	11	0.22916666666666663
76	87	74>75>76>66>76	11	0.20754716981132076
76	87	78>88>87>77>76	11	0.2
76	87	65>75>76>86>76	10	0.2
76	87	54>55>65>75>76	10	0.22727272727272724
76	87	96>97>87>77>76	10	0.22727272727272724
76	87	65>75>65>66>76	11	0.28205128205128205
76	87	69>68>67>66>76	12	0.22641509433962267
76	56	76	667	0.06030741410488247
76	85	76	1327	0.11998191681735984
76	85	96>86>76>75>76	10	0.22727272727272724
76	85	76>77>87>86>76	13	0.26
76	85	5>95>85>75>76	13	0.2708333333333333
76	85	87>86>87>77>76	12	0.24
76	85	96>86>85>86>76	10	0.20408163265306123
76	85	88>87>77>76	13	0.07471264367816093
76	85	74>75>76>86>76	10	0.20408163265306123
76	85	74>75>65>66>76	10	0.21739130434782608
76	85	74>75>76>66>76	12	0.22641509433962267
76	85	63>64>65>75>76	11	0.18644067796610167
76	85	63>64>74>75>76	10	0.2564102564102564
76	78	76	715	0.06464737793851717
76	74	76	680	0.06148282097649186
66	55	66	1307	0.11843059079376586
66	55	67>66>56>66	11	0.07534246575342465
66	55	57>56>55>65>66	11	0.2558139534883721
66	55	56>66>76>66	33	0.1907514450867052
66	55	67>68>67>66	20	0.19230769230769232
66	55	59>58>68>67>66	10	0.18867924528301888
66	55	75>76>86>76>66	11	0.24444444444444444
66	55	66>56>66>56>66	10	0.22222222222222224
66	55	84>85>75>76>66	10	0.23809523809523808
66	57	66	1174	0.10637912287060529
66	57	26>36>46>56>66	13	0.1911764705882353
66	57	66>76>66>76>66	11	0.21568627450980393
66	57	54>55>56>66	21	0.11538461538461538
66	57	46>45>55>56>66	10	0.20833333333333334
66	57	53>63>64>65>66	11	0.2391304347826087
66	57	64>54>55>56>66	12	0.25
66	57	55>65>75>65>66	11	0.2682926829268293
66	57	64>65>66>56>66	10	0.2631578947368421
66	57	48>58>68>67>66	10	0.22222222222222224
66	57	78>68>67>66	21	0.12352941176470589
66	57	46>56>66>67>66	12	0.2033898305084746
66	57	56>66>56>66	11	0.06358381502890173
66	57	75>65>66>65>66	10	0.23255813953488375
66	57	88>78>68>67>66	11	0.2558139534883721
66	46	66	657	0.05953243928959768
66	66	66	1538	0.13936208771293948
66	66	35>36>46>56>66	13	0.34210526315789475
66	66	16>26>36>46>56>66	10	0.4
66	66	26>36>46>56>66	11	0.16176470588235295
66	66	76>66>67>66	38	0.22891566265060243
66	66	66>67>66>76>66	10	0.20833333333333334
66	66	67>66>56>66	20	0.136986301369863
66	66	56>66>67>66	25	0.12562814070351758
66	66	46>45>55>56>66	17	0.3541666666666667
66	66	57>56>66	168	0.26332288401253917
66	66	56>46>56>66	37	0.2418300653594771
66	66	64>63>64>65>66	14	0.3333333333333333
66	66	75>74>75>76>66	10	0.1694915254237288
66	66	65>66>76>66	31	0.22962962962962966
66	66	66>65>64>65>66	13	0.3333333333333333
66	66	65>66>67>66	31	0.18128654970760233
66	66	57>67>57>67>66	12	0.3870967741935483
66	66	6>96>86>76>66	18	0.3050847457627119
66	66	75>76>75>65>66	13	0.3333333333333333
66	66	76>77>67>66	34	0.19540229885057472
66	66	56>66>56>66	35	0.20231213872832368
66	66	55>56>55>56>66	10	0.1724137931034483
66	66	56>55>56>66	24	0.13636363636363638
66	66	67>66>65>66	24	0.17777777777777778
66	66	66>56>57>56>66	10	0.37037037037037035
66	66	64>65>66>76>66	13	0.40625
66	66	53>54>55>65>66	19	0.37254901960784315
66	66	55>56>66>56>66	16	0.4444444444444444
66	66	57>67>77>67>66	12	0.3157894736842105
66	66	46>56>66>76>66	13	0.4482758620689655
66	66	67>68>67>66	17	0.16346153846153846
66	66	95>85>75>65>66	15	0.45454545454545453
66	66	44>54>64>65>66	10	0.3333333333333333
66	66	57>56>66>67>66	10	0.19230769230769232
66	66	46>45>55>65>66	15	0.48387096774193544
66	66	55>65>66>56>66	13	0.3170731707317073
66	66	46>56>66>56>66	13	0.3170731707317073
66	66	55>56>57>67>66	14	0.32558139534883723
66	66	85>75>76>66	39	0.23636363636363636
66	66	66>56>46>56>66	12	0.4444444444444444
66	66	68>67>57>67>66	11	0.34375
66	66	77>67>66>56>66	12	0.32432432432432434
66	66	75>76>77>76>66	11	0.3235294117647059
66	66	77>76>66>56>66	13	0.3611111111111111
66	66	64>65>66>65>66	12	0.3157894736842105
66	66	64>65>64>65>66	13	0.34210526315789475
66	66	57>67>66>76>66	14	0.30434782608695654
66	66	75>76>66>67>66	14	0.4
66	66	88>78>77>67>66	12	0.3157894736842105
66	66	86>85>75>76>66	11	0.36666666666666664
66	66	66>65>75>65>66	15	0.3191489361702128
66	66	57>47>57>56>66	17	0.3953488372093023
66	66	77>76>66>76>66	15	0.3488372093023256
66	86	66	644	0.058354476259514315
66	75	66	1223	0.11081913736861183
66	75	78>77>67>66	10	0.06211180124223602
66	75	76>77>76>66	16	0.09638554216867469
66	75	97>96>86>76>66	11	0.21568627450980393
66	75	84>74>75>76>66	10	0.18867924528301888
66	75	75>65>66>56>66	10	0.22222222222222224
66	75	77>76>77>76>66	15	0.3191489361702128
66	75	75>74>64>65>66	11	0.3055555555555556
66	75	55>54>55>65>66	10	0.18867924528301888
66	75	75>65>66>67>66	11	0.2391304347826087
66	75	84>74>75>65>66	10	0.23809523809523808
66	75	73>74>64>65>66	11	0.2037037037037037
66	75	84>85>75>65>66	10	0.19230769230769232
66	75	75>85>75>76>66	13	0.24074074074074073
66	77	66	1245	0.11281261326567595
66	77	66>76>66>67>66	10	0.22222222222222224
66	77	67>66>56>66	27	0.18493150684931503
66	77	66>76>75>65>66	11	0.2558139534883721
66	77	57>56>66>56>66	11	0.21568627450980393
66	77	66>56>55>56>66	10	0.23809523809523808
66	77	67>68>67>66	20	0.19230769230769232
66	77	76>86>76>66	11	0.07333333333333333
66	77	74>64>65>66	22	0.12643678160919541
66	77	55>54>55>65>66	10	0.18867924528301888
66	77	97>87>77>67>66	11	0.25
66	77	68>69>68>67>66	11	0.21153846153846156
66	77	84>74>64>65>66	10	0.24390243902439024
66	77	57>56>55>56>66	10	0.29411764705882354
66	68	66	751	0.06805001812250816
66	64	66	660	0.059804276911924616
65	54	65	1310	0.11599079157074553
65	54	46>56>55>65	27	0.18493150684931503
65	54	75>65>55>65	31	0.19745222929936307
65	54	64>54>55>65	12	0.0670391061452514
65	54	56>57>56>66>65	10	0.25
65	54	65>75>76>75>65	12	0.24489795918367344
65	54	63>64>63>64>65	10	0.2564102564102564
65	54	61>62>63>64>65	10	0.2127659574468085
65	54	75>74>75>65	11	0.0738255033557047
65	54	43>44>54>64>65	10	0.22727272727272724
65	54	85>75>85>75>65	11	0.21153846153846156
65	54	65>64>74>75>65	10	0.20408163265306123
65	54	43>53>63>64>65	11	0.24444444444444444
65	54	67>66>65>66>65	11	0.3142857142857143
65	85	65	686	0.06074021604391712
65	85	54>55>65>55>65	10	0.2
65	85	55>65>55>65	9	0.05590062111801242
65	74	65	1145	0.1013812643881707
65	74	64>54>55>65	32	0.1787709497206704
65	74	75>65>75>65	25	0.1736111111111111
65	74	76>75>65>64>65	13	0.24074074074074073
65	74	75>65>64>65	17	0.09770114942528736
65	74	55>56>55>65	11	0.06358381502890173
65	74	66>67>66>65	30	0.18072289156626506
65	74	64>74>75>65	19	0.11242603550295857
65	74	72>73>74>64>65	10	0.21739130434782608
65	74	74>75>85>75>65	10	0.20408163265306123
65	74	67>77>67>66>65	10	0.24390243902439024
65	74	54>64>74>75>65	11	0.25
65	74	76>75>76>75>65	10	0.20408163265306123
65	74	56>66>65>66>65	11	0.275
65	65	65	1819	0.16105896936426423
65	65	66>65>66>65	25	0.16447368421052633
65	65	55>65>75>65	29	0.16292134831460675
65	65	75>65>55>65	27	0.17197452229299362
65	65	56>55>45>55>65	14	0.31111111111111117
65	65	45>44>54>64>65	19	0.4318181818181818
65	65	47>46>45>55>65	18	0.33962264150943394
65	65	65>55>56>66>65	11	0.3055555555555556
65	65	64>63>64>65	22	0.1325301204819277
65	65	54>64>54>55>65	14	0.31111111111111117
65	65	44>54>55>65	31	0.1648936170212766
65	65	43>44>45>55>65	10	0.3225806451612903
65	65	85>84>85>75>65	21	0.39622641509433965
65	65	65>55>56>55>65	16	0.3404255319148936
65	65	74>64>65>55>65	11	0.3235294117647059
65	65	85>75>74>75>65	12	0.3076923076923077
65	65	64>74>75>65	25	0.14792899408284024
65	65	85>86>85>75>65	12	0.3076923076923077
65	65	47>57>67>66>65	11	0.2972972972972973
65	65	56>66>65>75>65	12	0.3
65	65	65>64>63>64>65	11	0.2558139534883721
65	65	54>44>54>55>65	10	0.2564102564102564
65	65	76>86>76>75>65	11	0.3333333333333333
65	65	63>53>54>64>65	13	0.3023255813953488
65	65	36>46>56>55>65	10	0.3125
65	65	65>55>65>64>65	11	0.3333333333333333
65	65	67>57>56>66>65	12	0.3
65	65	65>75>85>75>65	10	0.19230769230769232
65	65	56>55>65>64>65	13	0.32500000000000007
65	65	47>57>56>66>65	12	0.375
65	65	45>55>45>55>65	12	0.3157894736842105
65	65	64>65>66>65	18	0.10404624277456648
65	65	65>75>74>64>65	12	0.32432432432432434
65	65	58>68>67>66>65	11	0.19298245614035087
65	65	63>64>65>75>65	16	0.3076923076923077
65	65	74>73>74>75>65	16	0.2962962962962963
65	65	74>64>65>66>65	20	0.37735849056603776
65	65	34>44>54>64>65	14	0.3181818181818182
65	65	76>75>65>75>65	10	0.3448275862068966
65	65	65>64>65>66>65	16	0.4
65	65	76>66>76>66>65	16	0.3076923076923077
65	65	43>53>54>55>65	18	0.32142857142857145
65	65	45>44>54>55>65	17	0.37777777777777777
65	65	69>68>67>66>65	12	0.3157894736842105
65	65	56>46>56>66>65	13	0.29545454545454547
65	65	56>66>65>64>65	14	0.30434782608695654
65	65	56>55>56>55>65	14	0.5185185185185185
65	65	54>64>65>64>65	16	0.35555555555555557
65	65	63>73>74>75>65	17	0.3469387755102041
65	65	76>75>65>66>65	13	0.3170731707317073
65	65	74>75>74>64>65	13	0.3333333333333333
65	65	74>64>63>64>65	18	0.4186046511627907
65	65	63>64>54>55>65	14	0.30434782608695654
65	65	65>66>65>64>65	10	0.30303030303030304
65	65	72>62>63>64>65	14	0.29787234042553185
65	65	43>53>54>64>65	15	0.3191489361702128
65	56	65	1246	0.11032406587568622
65	56	55>65>75>65	21	0.11797752808988765
65	56	52>62>63>64>65	10	0.18867924528301888
65	56	34>44>54>55>65	10	0.2
65	56	65>66>56>55>65	10	0.24390243902439024
65	56	47>57>56>55>65	10	0.22222222222222224
65	56	74>75>74>75>65	10	0.21739130434782608
65	56	43>44>54>64>65	10	0.22727272727272724
65	56	36>46>56>66>65	10	0.17543859649122806
65	56	74>73>63>64>65	11	0.28205128205128205
65	56	54>55>65>75>65	13	0.2708333333333333
65	56	85>75>76>66>65	13	0.2765957446808511
65	56	63>64>54>55>65	11	0.2391304347826087
65	63	65	726	0.0642819196033292
65	45	65	744	0.06587568620506463
65	76	65	1259	0.11147511953249514
65	76	74>75>76>66>65	11	0.22916666666666663
65	76	54>55>56>55>65	11	0.2
65	76	65>64>63>64>65	10	0.23255813953488375
65	76	43>44>54>55>65	10	0.19230769230769232
65	76	83>73>74>64>65	11	0.22916666666666663
65	76	74>75>85>75>65	10	0.20408163265306123
65	76	85>75>65>66>65	11	0.22448979591836735
65	76	83>84>74>75>65	13	0.19402985074626866
65	76	56>57>67>66>65	10	0.2127659574468085
65	76	63>73>74>75>65	10	0.20408163265306123
65	76	63>73>74>64>65	10	0.18518518518518517
65	67	65	708	0.06268815300159376
65	67	66>76>75>65	20	0.12195121951219512
55	64	55	1287	0.11024498886414254
55	64	46>56>66>56>55	11	0.2619047619047619
55	64	42>43>53>54>55	11	0.2894736842105263
55	64	73>74>64>65>55	10	0.24390243902439024
55	64	75>65>55>65>55	11	0.22
55	64	75>65>55>45>55	12	0.22641509433962267
55	64	54>55>56>55	37	0.17370892018779344
55	64	46>56>46>56>55	11	0.23404255319148934
55	64	53>63>53>54>55	10	0.2
55	64	35>36>46>45>55	10	0.24390243902439024
55	64	64>74>75>65>55	10	0.22727272727272724
55	64	53>52>53>54>55	11	0.19642857142857142
55	55	55	1620	0.13876991605276684
55	55	54>55>54>55	34	0.1878453038674033
55	55	66>56>57>56>55	11	0.22448979591836735
55	55	64>54>44>45>55	10	0.2
55	55	35>34>44>54>55	20	0.38461538461538464
55	55	35>45>35>45>55	13	0.3170731707317073
55	55	33>34>44>45>55	17	0.3541666666666667
55	55	56>66>65>55	41	0.24404761904761904
55	55	66>65>66>65>55	11	0.3055555555555556
55	55	66>65>55>45>55	18	0.35294117647058826
55	55	44>43>44>45>55	8	0.1702127659574468
55	55	46>56>66>65>55	19	0.4222222222222222
55	55	53>54>55>65>55	20	0.3508771929824561
55	55	55>65>75>65>55	18	0.36
55	55	65>75>65>55	28	0.15384615384615388
55	55	65>55>54>55	39	0.2
55	55	56>55>65>55	29	0.17058823529411765
55	55	55>56>66>56>55	17	0.37777777777777777
55	55	66>56>55>45>55	12	0.3333333333333333
55	55	44>54>64>65>55	10	0.2
55	55	64>54>55	188	0.2568306010928962
55	55	64>54>55>45>55	10	0.15151515151515152
55	55	37>47>46>45>55	13	0.3611111111111111
55	55	47>46>45>55	14	0.08641975308641975
55	55	73>74>64>54>55	13	0.24074074074074073
55	55	75>85>75>65>55	18	0.3333333333333333
55	55	67>66>65>55	29	0.17682926829268292
55	55	46>56>55>45>55	10	0.2
55	55	54>55>56>55	32	0.15023474178403756
55	55	68>58>57>56>55	14	0.34146341463414637
55	55	57>56>57>56>55	17	0.3617021276595745
55	55	53>54>55>45>55	14	0.31111111111111117
55	55	46>36>46>56>55	15	0.38461538461538464
55	55	64>54>64>65>55	15	0.35714285714285715
55	55	55>56>55>56>55	11	0.34375
55	55	46>47>46>45>55	13	0.3714285714285715
55	55	46>45>55>45>55	12	0.3428571428571428
55	55	48>47>46>45>55	10	0.2564102564102564
55	55	73>63>53>54>55	13	0.30952380952380953
55	55	53>54>55>56>55	10	0.19230769230769232
55	55	44>54>44>45>55	11	0.18644067796610167
55	55	62>63>53>54>55	10	0.19607843137254902
55	55	66>65>75>65>55	10	0.20408163265306123
55	55	57>56>46>45>55	15	0.3333333333333333
55	55	84>74>64>65>55	19	0.35185185185185186
55	55	35>45>44>45>55	16	0.34782608695652173
55	55	43>44>43>44>45>55	10	0.8333333333333334
55	55	75>74>75>65>55	12	0.3428571428571428
55	55	55>54>64>65>55	10	0.3225806451612903
55	55	44>43>53>54>55	14	0.35
55	55	44>34>35>45>55	13	0.34210526315789475
55	55	46>56>57>56>55	10	0.3448275862068966
55	55	64>54>53>54>55	15	0.3125
55	55	37>47>46>56>55	14	0.3333333333333333
55	55	47>46>45>55>54>55	10	0.625
55	55	46>45>55>54>55	5	0.1388888888888889
55	55	73>63>64>65>55	17	0.34
55	55	44>43>44>54>55	15	0.3125
55	55	55>56>46>56>55	14	0.34146341463414637
55	55	42>43>44>54>55	16	0.3333333333333333
55	55	59>58>57>56>55	11	0.3235294117647059
55	55	55>45>44>54>55	14	0.30434782608695654
55	55	64>65>66>56>55	12	0.3333333333333333
55	55	64>63>64>54>55	21	0.42000000000000004
55	55	66>76>75>65>55	14	0.35
55	75	55	694	0.05944834675346925
55	75	54>55>65>55	24	0.13259668508287292
55	53	55	735	0.06296042487579236
55	53	67>66>56>55	21	0.12068965517241381
55	35	55	749	0.06415967106390269
55	46	55	1272	0.10896008223402433
55	46	24>25>35>45>55	10	0.3125
55	46	55>65>55>54>55	11	0.23404255319148934
55	46	65>55>54>55	23	0.11794871794871795
55	46	45>55>45>55	31	0.17613636363636365
55	46	35>34>35>45>55	10	0.2127659574468085
55	46	66>65>66>56>55	11	0.24444444444444444
55	46	74>64>54>55	12	0.06976744186046512
55	46	44>54>44>45>55	11	0.18644067796610167
55	46	44>45>44>45>55	12	0.21428571428571427
55	46	64>65>66>65>55	10	0.20833333333333334
55	46	35>36>35>45>55	12	0.3
55	46	46>45>55>56>55	10	0.23809523809523808
55	44	55	1348	0.11547027582662327
55	44	66>65>55>45>55	10	0.19607843137254902
55	44	44>54>53>54>55	11	0.18965517241379312
55	44	75>76>66>56>55	10	0.20833333333333334
55	44	45>44>45>55	10	0.05263157894736842
55	44	67>66>56>55	12	0.06896551724137931
55	44	46>45>44>54>55	13	0.2549019607843137
55	44	35>45>55>65>55	11	0.22448979591836735
55	44	46>56>55>65>55	10	0.22727272727272724
